n=100,n=1000,n=10000,n=50000,n=100000
0.019456,0.060416,0.108544,0.3296,0.36352
0.018304,0.060416,0.159744,0.323584,0.357376
0.018432,0.06144,0.109568,0.323584,0.362336
0.018432,0.060416,0.15872,0.328704,0.361472
0.017408,0.060416,0.108544,0.325632,0.364544
0.019456,0.060416,0.113664,0.321536,0.364544
0.02048,0.060416,0.109568,0.31744,0.361472
0.018432,0.060416,0.109568,0.326656,0.364544
0.018432,0.06144,0.109568,0.326656,0.366592
0.017408,0.060416,0.108544,0.328704,0.366592
0.018432,0.060416,0.108544,0.330752,0.364544
0.01936,0.060416,0.110528,0.321536,0.360448
0.017408,0.060416,0.108544,0.367616,0.365568
0.018432,0.060256,0.159648,0.327648,0.364256
0.017408,0.060224,0.109568,0.326624,0.362432
0.018368,0.061376,0.16176,0.325632,0.387072
0.01824,0.064352,0.110592,0.32768,0.412544
0.018432,0.06144,0.109376,0.321536,0.365568
0.028576,0.060416,0.109568,0.319488,0.367616
0.028672,0.060416,0.108544,0.367616,0.361472
0.02048,0.060416,0.108544,0.324512,0.360416
0.02048,0.060384,0.109568,0.326656,0.357376
0.017408,0.060416,0.109568,0.326656,0.359424
0.018432,0.061344,0.109568,0.370688,0.3624
0.019456,0.060416,0.160768,0.32768,0.362496
0.021504,0.060416,0.108544,0.32768,0.361376
0.018432,0.060384,0.15872,0.316416,0.36144
0.027648,0.060288,0.109376,0.380928,0.357376
0.018432,0.061344,0.159744,0.319488,0.355328
0.03184,0.060416,0.108544,0.32768,0.357376
0.018432,0.06144,0.160768,0.390144,0.360448
0.018432,0.060416,0.109504,0.326656,0.410624
0.02048,0.060416,0.109568,0.316416,0.359424
0.0256,0.06144,0.108544,0.325632,0.361472
0.017408,0.060256,0.160672,0.352256,0.409472
0.018432,0.060416,0.109568,0.319488,0.357312
0.02048,0.060416,0.109568,0.319488,0.360192
0.021504,0.061344,0.10944,0.330752,0.40752
0.019456,0.060416,0.108544,0.328704,0.361312
0.019456,0.060416,0.108544,0.32768,0.352256
0.019456,0.060416,0.109568,0.329728,0.356352
0.019456,0.065536,0.109568,0.328704,0.355328
0.018432,0.060416,0.109504,0.328704,0.359424
0.018432,0.063488,0.108544,0.316416,0.364544
0.017408,0.062464,0.108544,0.320512,0.356352
0.021472,0.06144,0.109504,0.326656,0.356352
0.018432,0.06144,0.109568,0.326656,0.363264
0.018432,0.0808,0.109568,0.32768,0.360448
0.018432,0.064512,0.108544,0.32768,0.355328
0.018432,0.06032,0.109408,0.323584,0.362496
0.018432,0.061344,0.109536,0.318464,0.35328
0.019456,0.063488,0.109568,0.32256,0.360448
0.018432,0.06144,0.109568,0.319488,0.35936
0.018432,0.0624,0.109568,0.32768,0.354304
0.018432,0.089088,0.109568,0.326656,0.3584
0.019456,0.068416,0.109568,0.328704,0.356352
0.018432,0.063488,0.109568,0.329728,0.357376
0.018432,0.06144,0.108544,0.333824,0.35328
0.017408,0.063488,0.109408,0.321536,0.365376
0.019424,0.062464,0.109568,0.334848,0.359392
0.018432,0.061248,0.108544,0.319488,0.360256
0.019424,0.065536,0.110432,0.319488,0.362496
0.019456,0.0624,0.110592,0.330752,0.359232
0.018432,0.060416,0.109568,0.32768,0.361472
0.019456,0.060416,0.109568,0.324608,0.362496
0.019456,0.060416,0.109408,0.323456,0.355168
0.018432,0.060416,0.109376,0.331776,0.351232
0.018432,0.0848,0.109568,0.326656,0.369664
0.019456,0.06144,0.108544,0.365568,0.410624
0.018432,0.060416,0.108544,0.320512,0.3584
0.019456,0.480256,0.109568,0.351232,0.359296
0.019456,0.063488,0.109472,0.326656,0.356352
0.019456,0.06144,0.109472,0.32768,0.357376
0.018432,0.064512,0.109568,0.321536,0.359424
